ID,sentence_length,uppercase_number,punctuation_number,digital_number,result
0,99,7,2,0,1
1,185,10,2,1,1
2,109,6,2,0,0
3,75,5,1,10,1
4,68,8,2,0,1
5,206,14,6,6,0
6,46,3,1,0,0
7,97,5,2,0,1
8,167,8,5,0,1
9,61,6,1,0,0
10,121,6,3,4,1
11,105,11,3,3,1
12,34,3,3,0,1
13,130,10,5,0,0
14,55,6,2,0,1
15,60,5,1,0,0
16,56,3,1,0,0
17,218,29,10,9,0
18,200,4,5,5,0
19,141,4,1,0,1
20,73,8,4,0,1
21,34,22,2,0,0
22,77,43,5,6,1
23,128,15,15,27,0
24,186,13,3,1,1
25,120,7,3,0,1
26,107,4,1,0,1
27,94,4,2,0,1
28,186,10,1,0,1
29,56,7,2,0,1
30,181,11,3,6,1
31,60,4,2,2,1
32,129,3,3,4,0
33,153,12,6,11,1
34,130,9,5,9,1
35,70,5,1,0,1
36,140,9,4,0,0
37,75,2,1,0,1
38,189,6,14,1,0
39,64,3,3,1,1
40,99,6,1,0,1
41,71,4,1,2,0
42,52,29,3,0,0
43,165,7,1,0,1
44,96,3,1,0,1
45,30,4,1,0,1
46,140,5,1,0,1
47,60,4,1,0,1
48,83,5,2,0,0
49,75,11,2,0,1
50,128,6,8,0,1
51,96,12,3,0,1
52,78,8,3,0,1
53,55,5,2,0,1
54,42,5,1,0,1
55,136,7,2,0,0
56,30,2,1,0,1
57,27,4,2,0,1
58,57,5,2,0,1
59,118,5,6,0,1
60,50,5,1,0,0
61,45,4,2,0,1
62,103,20,4,22,1
63,117,8,3,0,1
64,53,4,1,0,1
65,167,13,5,14,1
66,90,3,2,0,1
67,109,60,13,25,0
68,129,2,2,0,1
69,64,4,1,0,1
70,55,2,1,0,1
71,116,6,3,0,1
72,133,3,6,10,1
73,112,7,1,6,0
74,175,6,1,0,1
75,126,8,3,10,1
76,143,4,1,0,1
77,47,4,1,0,1
78,86,8,8,12,0
79,169,7,2,0,1
80,87,3,2,0,0
81,141,2,3,0,1
82,142,5,3,0,1
83,71,4,2,0,0
84,52,5,2,0,1
85,44,2,1,0,0
86,95,5,2,0,1
87,79,3,1,0,1
88,84,2,2,4,1
89,65,8,3,0,0
90,93,4,3,0,1
91,81,7,3,0,0
92,56,8,4,0,1
93,41,6,4,0,0
94,78,5,2,0,1
95,64,3,2,0,1
96,33,2,1,0,1
97,170,10,3,4,0
98,178,2,3,0,1
99,125,3,7,0,1
100,145,24,14,13,0
101,62,5,1,0,1
102,108,9,4,0,1
103,60,4,2,0,0
104,60,7,3,0,1
105,138,7,4,12,1
106,151,11,8,8,1
107,124,7,5,4,0
108,50,4,1,0,1
109,112,4,2,0,0
110,78,7,3,0,1
111,100,3,2,0,0
112,53,3,1,0,0
113,29,2,1,0,1
114,72,5,4,0,0
115,147,3,8,0,0
116,176,9,5,0,1
117,76,4,1,0,1
118,69,25,5,6,1
119,131,8,7,0,1
120,98,3,3,0,1
121,169,18,8,12,1
122,130,3,2,2,0
123,96,5,4,2,1
124,119,2,2,0,0
125,178,8,5,0,1
126,127,14,13,22,1
127,67,4,1,1,1
128,60,2,2,0,1
129,151,7,5,14,1
130,42,2,1,0,0
131,101,6,1,0,1
132,55,5,3,6,1
133,53,8,2,6,1
134,68,7,3,5,1
135,112,6,1,0,1
136,127,11,2,0,0
137,121,9,5,2,1
138,73,7,2,0,1
139,94,2,1,0,1
140,103,9,2,0,1
141,50,7,2,0,1
142,83,9,1,6,0
143,60,5,1,1,0
144,69,6,1,1,0
145,32,4,1,0,1
146,89,14,2,0,1
147,327,4,20,5,1
148,162,3,1,0,1
149,89,5,6,10,0
150,90,6,2,0,1
151,26,1,3,0,1
152,76,4,3,0,1
153,106,3,4,0,1
154,120,3,4,0,1
155,171,29,12,12,0
156,119,4,1,0,1
157,104,5,4,0,1
158,126,5,6,13,1
159,194,8,5,0,1
160,104,2,2,2,0
161,113,3,5,0,0
162,77,3,3,0,1
163,134,9,6,0,0
164,154,21,8,1,0
165,48,5,3,4,1
166,88,15,14,16,1
167,69,10,4,5,0
168,157,10,12,5,1
169,173,12,5,5,1
170,145,11,1,0,1
171,71,3,1,0,0
172,44,5,1,0,1
173,138,12,5,0,1
174,92,4,3,5,1
175,57,1,1,0,1
176,58,10,1,0,1
177,119,6,2,0,1
178,139,12,4,0,1
179,163,5,3,0,1
180,89,6,3,0,0
181,149,9,4,5,1
182,63,3,1,1,0
183,111,5,3,3,1
184,50,4,1,0,1
185,125,15,2,2,0
186,186,12,5,0,0
187,73,6,2,0,1
188,149,8,8,5,1
189,65,2,1,0,1
190,120,10,3,0,0
191,97,3,1,4,1
192,110,8,3,0,0
193,141,6,2,3,0
194,120,3,2,0,1
195,116,4,1,0,0
196,119,4,1,0,1
197,27,3,1,0,1
198,138,4,7,5,1
199,50,4,1,0,1
200,35,2,1,0,0
201,110,4,2,0,1
202,45,2,1,0,1
203,81,9,3,6,0
204,28,4,3,0,0
205,100,5,1,4,0
206,70,3,2,4,0
207,93,7,2,0,1
208,66,2,3,4,0
209,118,11,3,0,1
210,130,2,3,0,1
211,148,13,2,0,0
212,101,17,1,0,0
213,26,3,1,0,1
214,55,3,1,0,1
215,67,7,2,0,1
216,113,9,1,0,1
217,55,5,1,0,1
218,79,5,1,0,1
219,117,1,4,0,0
220,202,20,18,42,1
221,41,3,1,4,1
222,33,2,2,0,1
223,83,1,5,3,0
224,71,3,3,0,1
225,36,5,4,0,0
226,82,8,4,0,0
227,34,3,1,0,1
228,25,4,1,0,1
229,26,2,1,0,0
230,79,4,1,0,1
231,76,5,2,0,1
232,116,1,5,2,0
233,174,5,3,0,1
234,73,3,4,4,0
235,33,2,2,0,0
236,93,6,3,0,1
237,148,10,6,1,0
238,167,19,4,0,1
239,38,6,2,0,0
240,77,3,1,0,1
241,70,6,3,0,0
242,133,11,3,0,1
243,121,8,1,0,1
244,91,5,2,0,1
245,72,7,1,0,1
246,71,4,1,0,1
247,48,4,1,0,0
248,103,5,4,0,1
249,109,9,2,0,1
250,83,8,2,0,1
251,194,21,14,8,0
252,80,10,7,8,1
253,100,16,6,10,1
254,42,2,3,3,0
255,61,1,1,0,0
256,90,15,14,16,1
257,152,6,2,0,0
258,77,8,2,0,0
259,147,6,4,0,1
260,80,5,1,0,1
261,78,3,1,0,0
262,39,4,1,0,1
263,94,6,6,2,1
264,51,6,1,4,0
265,70,4,4,0,0
266,60,2,1,0,1
267,108,8,3,6,0
268,47,3,1,0,1
269,115,6,1,0,1
270,78,4,1,0,0
271,170,16,10,10,1
272,110,8,2,0,1
273,190,7,4,4,1
274,54,6,1,0,1
275,139,18,5,0,0
276,135,7,3,0,0
277,66,5,3,0,1
278,85,3,3,0,1
279,91,3,3,0,1
280,62,3,1,0,1
281,62,4,1,0,1
282,26,2,3,0,0
283,47,4,2,0,1
284,130,6,2,0,0
285,88,4,2,0,1
286,76,4,1,0,1
287,78,5,3,0,1
288,94,4,2,0,0
289,57,3,1,0,0
290,100,2,2,0,1
291,58,6,1,0,1
292,40,3,1,0,1
293,98,6,1,0,1
294,76,14,7,0,1
295,156,9,6,12,1
296,122,7,8,10,1
297,113,9,5,0,1
298,93,7,2,0,1
299,86,2,2,0,1
300,65,7,1,0,1
301,103,5,4,0,1
302,54,1,2,0,1
303,102,4,1,0,1
304,126,6,3,4,1
305,58,2,2,0,1
306,93,6,1,0,1
307,95,5,1,0,1
308,104,13,1,6,1
309,109,7,1,0,1
